lyrics,artiste
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh She is half your age,Adele
But I'm guessing that's the reason that you stayed,Adele
I heard you've been missing me,Adele
You've been telling people things that you shouldn't be,Adele
Like when we creep out and she ain't around,Adele
Haven't you heard the rumors Bless your soul you've got your head in the clouds,Adele
You made a fool out of me,Adele
And boy you're bringing me down,Adele
You made my heart melt yet I'm cold to the core,Adele
But rumor has it I'm the one you're leaving her for Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh All of these words whispered in my ear,Adele
Tell a story that I cannot bear to hear,Adele
Just 'cause I said it it don't mean that I meant it,Adele
People say crazy things,Adele
Just 'cause I said it don't mean that I meant it,Adele
Just 'cause you heard it Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh But rumor has it he's the one I'm leaving you for You've been on my mind,Adele
I grow fonder every day,Adele
Lose myself in time,Adele
Just thinking of your face,Adele
God only knows why it's taken me,Adele
So long to let my doubts go,Adele
You're the only one that I want I don't know why I'm scared,Adele
I've been here before,Adele
Every feeling every word,Adele
I've imagined it all,Adele
You'll never know if you never try,Adele
To forget your past and simply be mine I dare you to let me be your your one and only,Adele
I promise I'm worthy,Adele
To hold in your arms,Adele
So come on and give me the chance,Adele
To prove I am the one who can walk that mile,Adele
Until the end starts If I've been on your mind,Adele
You hang on every word I say,Adele
Lose yourself in time,Adele
At the mention of my name,Adele
Will I ever know how it feels to hold you close,Adele
And have you tell me,Adele
Whichever road I choose you'll go? I don't know why I'm scared,Adele
'Cause I've been here before,Adele
Every feeling every word,Adele
I've imagined it all,Adele
You'll never know if you never try,Adele
To forget your past and simply be mine I dare you to let me be your your one and only,Adele
I promise I'm worthy mm,Adele
To hold in your arms,Adele
So come on and give me the chance,Adele
To prove I am the one who can walk that mile,Adele
